ArptId,Lat,Lon
BYH,35.96433333,-89.94394444
HKA,35.94041402,-89.83079869
AR30,35.94341666,-89.91775
4M2,35.14952633,-93.86338955
15AR,34.82586111,-90.54333333
9AR1,34.93347222,-93.51722222
M36,34.88027777,-91.17644444
62AR,36.46481388,-93.86928333
3AR3,35.05958055,-92.08201388
4AR1,35.04126666,-92.10101666
4AR2,34.91045277,-92.00697569
73AR,35.04852222,-92.05374166
37T,36.16452777,-92.14447222
CDH,33.62280555,-92.76338888
AR42,33.57658322,-92.8361973
RBM,34.84692361,-92.30014166
4M3,34.80822222,-91.71211111
6AR5,34.77832083,-91.79893888
9AR9,35.82697391,-90.90799197
6AR1,36.27790833,-94.1966
2AR5,36.38305555,-94.29388888
AR03,35.12268055,-93.20313611
28AR,35.83333333,-91.43333333
4AR5,35.37083333,-90.75055555
AR05,35.21591944,-93.3049
4M8,34.64666888,-91.39472055
H35,35.47067805,-93.42715722
AR02,35.46120277,-93.44535555
CCA,35.59775,-92.45158333
31AR,35.559975,-92.4518
2A2,35.65071902,-92.40381294
DRP,35.12005222,-90.82650138
7AR3,35.15111111,-90.81555555
4AR3,35.08548611,-92.45831111
AR88,35.05480833,-92.35404277
AR06,35.2325,-92.34333333
CXW,35.01988888,-92.55511111
1AR3,35.05778333,-92.41911944
4M9,36.40423138,-90.64792638
4AR4,36.45701111,-90.57206527
H14,36.41926944,-90.58825
61AR,36.31440833,-92.54273333
1AR1,34.52717777,-91.87266388
0AR2,35.26675444,-90.35009916
CRT,33.17833333,-91.88019444
AR07,33.14178611,-91.93346388
50AR,35.05463333,-93.38298888
32A,35.0872625,-93.42892416
93AR,35.055092,-93.388952
AR32,35.22091833,-93.152675
5M5,36.34361111,-94.44483333
DEQ,34.047,-94.39936111
01AR,34.04768611,-94.35375
4M5,33.48795333,-91.44261138
1AR2,34.98678333,-91.5503
AR59,34.27880833,-91.33862777
5M1,34.26227777,-91.3075
49AR,34.21444444,-91.45777777
78AR,36.48587586,-92.86317141
AR89,35.40008194,-93.06600611
0M0,33.88452777,-91.53427777
63AR,35.246525,-90.46144166
7AR7,34.32119722,-90.85766944
91AS,34.144241,-90.992268
60AS,34.3762405,-90.931404
AS91,34.2925615,-90.9957155
F43,33.19125,-92.66322222
AR47,33.21386666,-92.66833888
AR48,33.21457388,-92.66793416
ELD,33.2212378,-92.81174888
6AR0,35.06055583,-92.116111
17AR,34.55305555,-92.09138888
7AR1,33.05006666,-91.34073055
0AR9,36.40013611,-93.74367777
AR08,36.31534722,-93.66657777
55AR,36.42972222,-93.69555555
7AR0,36.43144444,-93.69930555
18AR,36.34416666,-93.83166666
FYV,36.00509555,-94.17006333
XNA,36.28157916,-94.30776555
67AR,36.09777777,-94.3075
4AR8,36.1082,-94.15876666
48AR,35.48375,-90.84090277
FLP,36.29088888,-92.59025
45AR,36.36725,-92.64022222
6AR9,36.41527777,-92.69444444
5M4,33.84579222,-92.36552888
7AR5,33.81126388,-92.42474166
FCY,34.94199805,-90.77496611
AR72,35.03906388,-90.77716111
AZU,35.27509166,-94.22520944
FSM,35.33664694,-94.36610888
AR21,35.35375,-94.35205277
AR40,35.37315833,-94.41933333
40AR,36.39271666,-93.91261944
1AR5,36.29944444,-94.58472222
71AR,36.28257638,-94.47376388
72AR,34.30025883,-93.48247916
70AR,35.99451527,-89.99731138
0AR4,36.40927777,-94.46005555
AR09,36.41388888,-94.43888888
5AR8,36.40722222,-93.46416666
12A,35.17752961,-92.33506697
52AR,35.28008055,-92.24153888
1AR6,35.50332777,-92.19670833
7AR2,35.5572,-92.1321
33AR,35.60222222,-92.1425
30AR,35.54436111,-92.05616666
36AR,35.20638888,-91.31888888
94AR,35.15638333,-91.33188055
3AR5,35.11786388,-91.61188333
5M8,33.92377777,-93.16813888
20AR,35.30785833,-92.32015277
0R6,33.52261111,-92.46027777
HRO,36.26152055,-93.15472888
AR80,36.23646,-93.10934305
3AR2,36.32006666,-93.20156666
6M0,34.75921388,-91.63804583
AR10,34.80666666,-91.60833333
21AR,34.71759166,-91.53901944
3AR8,35.47183055,-91.96226111
6AR4,35.50488888,-91.99769444
HBZ,35.51169388,-92.01300944
HEE,34.57649194,-90.67588944
AR77,34.50982472,-90.62621777
80AR,34.41425269,-90.72937852
51AS,34.483481,-90.716014
AS11,34.44736111,-90.8075
43AS,34.44861111,-90.66180555
75AR,36.29617805,-92.21598861
47AR,34.50269444,-92.22976111
06AR,35.54452194,-92.18487444
2AR9,36.45527777,-93.71935833
2A6,34.58244444,-91.16522222
7AR8,34.66508472,-91.17665
5AR4,34.6425,-91.09472222
M18,33.71998113,-93.65890372
1AR7,33.64845,-93.58503888
6M2,36.22136138,-91.75547388
11AR,34.46885,-93.06576666
0AR6,34.48614444,-93.036575
