TransitionComputerCode,RouteString
CHUUC6 ARG,CHUUC MYERZ ARG
CIITY3 DEDHD,CIITY BCEEE DEDHD
CIITY3 GRTFL,CIITY BCEEE GRTFL
CIITY3 MOGEE,CIITY BCEEE MOGEE
CIITY3 ORRCA,CIITY BCEEE ORRCA
CIITY3 SYRAH,CIITY LLVII SYRAH
CIITY3 TIPRE,CIITY BCEEE TIPRE
CLSSY1 CENZA,CLSSY ZZOOO CENZA
CLSSY1 GBN,CLSSY ZZOOO ANRMN JORRJ GRIDR GUUSE BLUZE IPL BZA HOGGZ MOHAK JUDTH GBN
CLSSY1 HOGGZ,CLSSY ZZOOO ANRMN JORRJ GRIDR GUUSE BLUZE IPL BZA HOGGZ
CLSSY1 MTBAL,CLSSY ZZOOO ANRMN JORRJ GRIDR PIEZZ NSHEE MTBAL
CLSSY1 TGOLD,CLSSY ZZOOO ANRMN JORRJ GRIDR GUUSE BLUZE IPL BZA HOGGZ MOHAK JUDTH TGOLD
CLTCH3 FLASK,CLTCH KERRK TEEMS FLASK
CLTCH3 MAULS,CLTCH KERRK MAULS
CLVIN3 STAZE,CLVIN TFTUN RINTE PUUDL STAZE
CNDEL5 KAYEX,PORTE KAYEX
CNDEL5 KTINA,PORTE KTINA
CNDEL5 NTELL,PORTE UTOOB NTELL
CNDEL5 SUSEY,PORTE SUSEY
CNDEL5 YYUNG,PORTE FFOIL LIBBO YYUNG
COAST9 FLW,MCKEY MQO FLW
COAST9 GVO,MCKEY MQO GVO
COAST9 RZS,MCKEY MQO RZS
COAST9 SXC,MCKEY DAISY BENET SXC
CONLE5 COLIN,CONLE AMEEE COLIN
CONLE5 SCOOB,CONLE AMEEE COLIN SCOOB
CONNR7 WERNR,CONNR WERNR
CONRA3 CLL,CONRA CLL
CONRA3 LOA,CONRA LOA
COORZ6 VOAXA,COORZ VOAXA
CEZ2 HBU,CEZ HBU
CEZ2 ETL,CEZ ETL
COULT7 DLL,COULT LMFRY DLL
CYOTE4 ABI,TTT PODDE MQP ABI
CYOTE4 CDS,TTT FERRA SCABI CDS
CYOTE4 CNX,TTT CEOLA KIRST LBB CNX
CYOTE4 LBB,TTT CEOLA KIRST LBB
CYOTE4 MQP,TTT PODDE MQP
CYOTE4 PNH,TTT FERRA SCABI CDS PNH
CYOTE4 PODDE,TTT PODDE
CYOTE4 TXO,TTT CEOLA KIRST LBB TXO
CREPE3 FRAMS,CREPE RUGTY FRAMS
CREPE3 MQO,CREPE SOJSU MQO
CREPE3 PRB,CREPE PRB
CROLI1 FRA,CROLI FRA
CROLI1 RBRTS,CROLI RBRTS
CROLI1 EHF,CROLI EHF
CROSB2 WISPR,CROSB WISPR
CROWD8 HALLR,CROWD HALLR
CRSON7 HUMMS,CRSON HUMMS
CSHEL7 CAMJO,CSHEL BGOUT PULEC SMELZ JINOS DOFFY CAMJO
CSHEL7 JAMIZ,CSHEL BGOUT PULEC SMELZ JINOS BRUTS JAMIZ
CSHEL7 JAWJA,CSHEL BGOUT PULEC SMELZ PATOY DEANR MICES JAWJA
CSHEL7 LENDS,CSHEL BGOUT PULEC LOJUF LENDS
CSHEL7 TOLLZ,CSHEL BGOUT PULEC TOLLZ
CSHEL7 VIYAP,CSHEL BGOUT PULEC SMELZ JINOS ETORE FEMON VIYAP
CTRUS4 COREZ,CTRUS DZINE OROSZ SHORS MDWAY COREZ
CTRUS4 CSTRO,CTRUS DZINE OROSZ HEYJO CSTRO
CTRUS4 HAILO,CTRUS DZINE SEAEM SLAPP YAAPY JETHK BBITE ANTLP GUNNR ARRMY HAILO
CTRUS4 HEC,CTRUS DZINE SEAEM SLAPP YAAPY JETHK BBITE ANTLP HEC
CTRUS4 IKAYE,CTRUS WOPPR IKAYE
CTRUS4 LAS,CTRUS DZINE SEAEM SLAPP YAAPY JETHK BBITE ANTLP NNAVY BLAZN LAS
CTRUS4 MISEN,CTRUS DZINE SEAEM SLAPP YAAPY JETHK BBITE ANTLP NNAVY MISEN
CTRUS4 SCTRR,CTRUS DARRK FIXIT IKAYE TESEA SCTRR
CTRUS4 STOKD,CTRUS DARRK FIXIT IKAYE RIZIN SPLNT STOKD
CURLO6 CLL,CURLO ARDIA ELLVR CLL
CURLO6 ELLVR,CURLO ARDIA ELLVR
CURLO6 HOARY,CURLO NELYN ACT PRIZE HOARY
CURLO6 TNV,CURLO DARTZ BRDEN TORNN BILEE TNV
CURLO6 SAT,CURLO NELYN ACT PRIZE HOARY SAT
CURLO6 TORNN,CURLO DARTZ BRDEN TORNN
CURLO6 ACT,CURLO NELYN ACT
CURLO6 WINDU,CURLO JASPA WINDU
CUTTN2 HANKO,CUTTN HANKO
CWARD2 LAX,CWARD LAX
CWARD2 SLI,CWARD MADOW SLI
DALL3 EIC,TTT CLARE POTEN TEKBE SHRLY EIC
DALL3 LIT,TTT NOBLY COBUG ORTRO LIT
DALL3 SOLDO,TTT SOLDO
DALL3 TXK,TTT TRISS SHERO TXK
DANLS3 SPKER,DANLS SPKER
DARCY7 DONVE,DARCY DREGS DONVE
DARCY7 SCOTO,DARCY DREGS DUMGE SCOTO
DARRK3 DINTY,DARRK FIXIT IKAYE RIZIN OINGO DINTY
DARRK3 MCKEY,DARRK FIXIT IKAYE RIZIN MCKEY
DARRK3 RIZIN,DARRK FIXIT IKAYE RIZIN
DARRK3 SCTRR,DARRK FIXIT IKAYE TESEA SCTRR
DARRK3 STOKD,DARRK FIXIT IKAYE RIZIN SPLNT STOKD
DARTZ9 TNV,DARTZ BRDEN TORNN BILEE TNV
DARTZ9 TORNN,DARTZ BRDEN TORNN
DAWNN1 IIU,DAWNN IIU
DAWNN1 MYS,DAWNN MYS
DDANY3 BORRD,DDANY BORRD
DDANY3 JIPOD,DDANY JIPOD
DDANY3 VALKA,DDANY VALKA
DDANY3 ZALEN,DDANY ZALEN
DEEZZ5 CANDR,HEERO KURNL CANDR
DEEZZ5 TOWIN,HEERO KURNL CANDR TOWIN
DEZRT2 BAM,DEZRT TIPTN PECOP ANTMO BAM
DEZRT2 MVA,DEZRT TIPTN PECOP ASTNN MVA
DIDLY5 FCA,DIDLY MSO JESSY FCA
DIDLY5 MSO,DIDLY MSO
DIDLY5 MLP,DIDLY ORONE MLP
DIDLY5 LKT,DIDLY MSO LKT
DITTI1 DAHLI,DITTI NEPHI BOTSS DAHLI
DITTI1 TCH,DITTI KOONA TCH
