TransitionComputerCode,RouteString
OCTAL BLFRG2,OCTAL COREA BLFRG
BLH BLH5,BLH SALOM SADLL HYDRR PAYNT ARLIN
CAE BLOCC2,CAE TENNI SDZ VACUM BLOCC
CHKLZ BLOGS3,CHKLZ TILTZ VEJAY BLOGS
FEEBZ BLOGS3,FEEBZ VEJAY BLOGS
GARIC BLOGS3,GARIC CHKLZ TILTZ VEJAY BLOGS
TILTZ BLOGS3,TILTZ VEJAY BLOGS
BGOHH SNDAY1,BGOHH MUFNN ROOOF WHYZE BEANE BLUBL
ELLVR SNDAY1,ELLVR NNEAL WHYZE BEANE BLUBL
JAYJO SNDAY1,JAYJO BLUBL
MUFNN SNDAY1,MUFNN ROOOF WHYZE BEANE BLUBL
STYCK SNDAY1,STYCK WHYZE BEANE BLUBL
HELLO BLUEM4,HELLO OOPEE LAZYY BLUEM
KICKR BLUEM4,KICKR OOPEE LAZYY BLUEM
LAZYY BLUEM4,LAZYY BLUEM
MNOSO BLUEM4,MNOSO KICKR OOPEE LAZYY BLUEM
OOPEE BLUEM4,OOPEE LAZYY BLUEM
MLB BLUFI4,MLB LEBUR DALOO TOPPR BLUFI
KELNE BLUZZ5,KELNE SPKER BLUZZ
BNA BLUZZ5,BNA CITAN KELNE SPKER BLUZZ
PXV BLUZZ5,PXV WISNA SUDOE CASOT SPKER BLUZZ
RAMRD BLUZZ5,RAMRD HARET AXXEL SPKER BLUZZ
SPKER BLUZZ5,SPKER BLUZZ
NURAY BMBER1,NURAY KAELA OTTEE FOOLZ GLDDD BMBER
PEMKE BMBER1,PEMKE PEGYS OAKES SHIZM ZOKMM BMBER
RPARK BMBER1,RPARK MOLLA OAKES SHIZM ZOKMM BMBER
FIROL BNFSH2,FIROL JITIL REPEE MUNRO BICAP ENRGY WOOSA CASTT BNFSH
GELDE BNFSH2,GELDE ENRGY WOOSA CASTT BNFSH
HOAGG BNFSH2,HOAGG JORAY MOGAE WOLAP CIKEN GELDE ENRGY WOOSA CASTT BNFSH
MOGAE BNFSH2,MOGAE WOLAP CIKEN GELDE ENRGY WOOSA CASTT BNFSH
MORME BNFSH2,MORME POSSE CIKEN GELDE ENRGY WOOSA CASTT BNFSH
MUNRO BNFSH2,MUNRO BICAP ENRGY WOOSA CASTT BNFSH
REPEE BNFSH2,REPEE MUNRO BICAP ENRGY WOOSA CASTT BNFSH
SNAGY BNFSH2,SNAGY HOVAX JORAY MOGAE WOLAP CIKEN GELDE ENRGY WOOSA CASTT BNFSH
SUMRS BNFSH2,SUMRS PAAZZ JORAY MOGAE WOLAP CIKEN GELDE ENRGY WOOSA CASTT BNFSH
DORRN CAVLR6,DORRN PERKN KHOOD BNTLY
