NavId,Lat,Lon
CJ,39.79439552,-89.59222483
CK,36.52705713,-87.38675636
CKB,39.2532178,-80.26786161
CKC,47.84005397,-90.3855725
CKH,21.26511222,-157.70298138
CKV,36.62198602,-87.41265922
CKW,41.75570944,-107.58198222
CL,30.49377222,-96.33779494
CLE,41.41895558,-81.85007147
CLL,30.60500172,-96.42068075
CLT,35.19028866,-80.95175344
CLT,35.22472222,-80.95666666
CM,39.96618755,-88.18239252
CMA,34.21252102,-119.09435519
CME,33.33747477,-104.62124491
CMI,40.03453125,-88.2760755
CMJ,55.34217341,-131.69076516
CMK,41.28008941,-73.58132641
CMX,47.17026166,-88.485393
CMY,43.93782425,-90.64185769
CNG,37.00860927,-88.83691277
CNH,43.36917425,-72.37117311
CNM,32.25661338,-104.22603761
CNP,41.07665555,-102.45888222
CNT,38.66833333,-115.59888888
CNU,37.62615902,-95.59347025
CNX,34.36701527,-105.67800472
CO,38.6944033,-104.71634602
CO,43.11877694,-71.45242944
COD,44.62045152,-108.96491725
COE,47.77369722,-116.82058833
COF,28.23768333,-80.61175833
COL,40.31162952,-74.15972847
CON,43.219787,-71.575453
COR,36.06605555,-119.53094444
COS,38.81638333,-104.69913888
COT,28.46201766,-99.11854502
COU,38.81082333,-92.21827388
COY,17.73450222,-64.70075255
CP,38.51988497,-90.05927033
CPC,34.27322686,-78.71197222
CPN,46.032,-112.74752777
CPZ,28.87843738,-99.99438172
CQN,35.16653883,-85.15737197
CQX,41.69193388,-69.9877475
CQY,32.18572222,-96.21810277
CRE,33.81384094,-78.72452211
CRG,30.33887919,-81.50992733
CRI,40.61246927,-73.89446313
CRL,42.04802655,-83.45757291
CRN,61.10175,-155.56864722
CRP,27.90376591,-97.44488133
CS,32.45193808,-85.04197333
CSG,32.61525219,-85.01762886
CSI,29.92235447,-99.21448569
CSN,38.64120213,-77.86549941
CSS,39.60089025,-83.39159236
CSX,38.75274441,-90.36095961
CSZ,32.06349638,-95.95762083
CTB,48.56494852,-112.34325438
CTF,34.65049805,-80.27491636
CTR,42.29131861,-72.94939416
CTW,40.22920861,-81.47647666
CTY,29.59900069,-83.048792
CTZ,34.97509483,-78.36193913
CUN,64.83858402,-147.49507838
CUS,31.8191005,-107.57449383
CUZ,41.4839755,-99.68904775
CV,32.26679152,-104.33851213
CVA,41.70854841,-90.48331366
CVC,33.631225,-83.84835
CVE,32.89031033,-96.90396691
CVG,39.01598077,-84.70334633
CVI,36.37291388,-76.87154472
CVO,44.49956536,-123.29366011
CVS,34.38058608,-103.32242413
CVV,48.24469444,-122.72441666
CW,30.30663672,-93.19619697
CWK,30.37855,-97.52984722
CX,30.43207958,-95.47626608
CXR,41.51692791,-81.16318588
CYN,39.81733791,-74.43162572
CYR,30.88816916,-84.1593308
CYS,41.21096702,-104.77291497
CYY,26.15342747,-81.77810319
CZF,61.77601433,-166.04343716
CZF,61.79037827,-165.9700603
CZI,43.99972777,-106.43573055
CZJ,31.83287663,-94.15378391
CZQ,36.88432222,-119.81514444
DAG,34.96245694,-116.57816638
DAL,32.855175,-96.8472
DAS,30.18971172,-94.64498444
DAY,39.8980788,-84.21523202
DBL,39.43934527,-106.89468027
DBN,32.56346013,-82.83004477
DBQ,42.40146908,-90.709078
DBS,44.08885333,-112.20934333
DCA,38.85945277,-77.03643611
DCM,34.78575333,-81.20082936
DCU,34.64831455,-86.93951275
DD,39.74297013,-83.02027402
DDC,37.85056075,-100.00563733
DDD,41.36629944,-91.14927925
DDP,18.46827861,-66.41239222
DDY,43.09085638,-106.27702444
DE,39.79045072,-88.95388813
DEC,39.87637133,-88.76467866
DEL,28.21415555,-105.44856666
DEN,39.81251405,-104.66074008
DEN,39.870467,-104.65483177
DET,42.40503722,-83.01630944
DGD,37.02346916,-92.87692277
DGG,68.03248611,-162.90416944
DHK,29.53695,-98.26781388
DHP,25.79996275,-80.34903508
DHT,36.09145652,-102.54464163
DIK,46.86003886,-102.77349983
DJB,41.35806497,-82.16196869
DJN,64.02345638,-145.68682666
DKK,42.4904,-79.27410277
DL,46.84571897,-92.35493738
DLF,29.36089166,-100.771725
DLG,58.99423375,-158.55221955
DLH,46.8021638,-92.20286919
DLL,43.55083561,-89.76362247
DLN,45.24857391,-112.5471298
DMA,32.15991583,-110.88090944
DMN,32.27555141,-107.60550127
DN,40.28959036,-87.52994391
DNI,33.82649911,-96.66889291
DNJ,44.76711258,-116.20626575
DNV,40.29376627,-87.55726016
DNW,43.82827805,-110.33547444
DNY,42.17828055,-74.95694055
DOB,33.91465277,-84.50731111
DOV,39.1324,-75.46740833
DPA,41.89037147,-88.35017747
DPK,40.79176669,-73.30367738
DPR,45.07817527,-101.71507138
DPY,47.96773886,-117.42632875
DQN,40.0164443,-84.39689811
DQO,39.67814013,-75.60708558
DR,29.44269444,-100.992275
DRK,34.70255225,-112.48034163
DRO,37.15325975,-107.74962591
DS,35.12251111,-91.76160555
DSD,44.25276077,-121.30355233
DSM,41.4376248,-93.64855794
DSM,41.53899808,-93.65742563
DT,33.28310141,-97.19626219
DTA,39.30226216,-112.50555938
DTL,46.82552372,-95.88732269
DTW,42.23166666,-83.35833333
DUG,31.47267361,-109.60205363
DUT,53.90514602,-166.54786775
DVC,37.80873972,-108.93127388
DVK,37.57642277,-84.76403333
DVL,48.1152213,-98.91251575
DVN,41.61221388,-90.58496388
DVV,39.89468941,-104.624335
DWG,30.47823888,-86.52085833
DWN,45.0874625,-94.45384972
DXB,30.75213486,-93.33474755
DXO,42.21313622,-83.36666327
DYB,33.0614578,-80.27718622
DYO,43.706144,-72.95660341
DYR,36.01854966,-89.31769163
DYS,32.41851111,-99.85705
DYY,37.6117663,-118.00816888
EAR,40.72560386,-99.00512536
EAT,47.39969238,-120.21082744
EAU,44.89767002,-91.47853497
ECB,38.1583625,-82.91005472
ECG,36.25757308,-76.17559775
ECH,55.35678161,-131.70923172
ECK,43.25588555,-82.71792944
ECS,43.88112802,-104.30777097
EDF,61.25500833,-149.769175
EDN,31.29637222,-85.90273611
EDW,34.98236277,-117.73260833
EEA,39.47986944,-115.99185555
EED,34.76600416,-114.47410416
EEF,58.17096638,-135.2579175
EEN,42.79427777,-72.29177777
EFD,29.60595833,-95.15965225
EHF,35.48455436,-119.09729363
EHK,37.78733,-113.06823055
EHM,58.65602222,-162.07374444
EIC,32.77136472,-93.80992916
EIL,64.65379444,-147.09397777
EKN,38.91443583,-80.0992725
EKR,40.06744188,-107.92494958
EL,33.28606897,-92.72814963
ELA,29.66247941,-96.31712252
ELB,33.67603566,-117.73109125
ELD,33.2561538,-92.74394775
ELF,55.29614947,-162.78924052
ELN,47.02437419,-120.45841355
ELO,47.82189961,-91.83014033
ELP,31.81591027,-106.28188283
ELP,31.80444444,-106.36611111
ELW,34.41918616,-82.78468372
ELX,42.14441236,-86.12270577
ELY,39.29812588,-114.84830477
ELZ,42.08965069,-77.99954897
EMG,32.40040555,-93.59514722
EMI,39.49500738,-76.97857197
EMP,38.29114488,-96.13811119
EMR,33.46280694,-81.99685636
ENA,60.61470211,-151.19524266
END,36.34496666,-97.91835555
ENE,43.42567213,-70.61352547
ENI,39.05321675,-123.27432666
ENL,38.41999869,-89.1589978
ENM,62.78458847,-164.48753397
ENN,64.59000691,-149.07285783
ENO,39.23164669,-75.51596994
ENW,42.599077,-87.93167166
EOE,34.31103766,-81.63632858
EON,41.26963236,-87.79105347
EOS,36.84244841,-94.4357008
EPH,47.37791888,-119.42400388
EQQ,33.25694452,-84.71327
ERI,42.01739691,-80.29269816
ES,45.72273002,-87.22483744
ESC,45.72263527,-87.08959827
ESG,43.22022088,-70.82834794
ESL,39.22549277,-78.9895
ETG,41.21494972,-78.14275638
ETL,38.04025222,-108.25857444
ETX,40.58103902,-75.68403013
EUF,31.95025077,-85.1304795
EUG,44.12089841,-123.22283125
EVW,41.27248775,-111.0467665
EW,35.02162422,-77.07946183
EWA,32.36766666,-88.45716666
EWC,40.82493266,-80.21154555
EWM,31.95178611,-106.27245833
EWN,35.07314138,-77.0450658
EWO,37.63181138,-85.6758775
EWR,40.67434444,-74.17796666
EWR,40.703384,-74.18742252
EYW,24.58587827,-81.80047633
EZF,38.26634794,-77.45050913
EZM,32.13169205,-83.15394247
FAH,43.7687865,-87.84876863
FAI,64.80007047,-148.01197588
FAK,37.52850944,-77.82821916
FAM,37.67346288,-90.23406127
FAR,46.75333691,-96.85131897
FAY,34.98555122,-78.87506386
FBC,40.95533383,-83.75602461
FBR,41.37843997,-110.42406122
FBY,40.17667263,-97.16582441
FCA,48.21410244,-114.17589072
FCM,44.82535008,-93.44268869
FCS,38.68069852,-104.75692025
FDK,39.41223608,-77.37511608
FDV,64.49474644,-165.3150973
FF,46.21981633,-96.05768463
FFC,33.30091938,-84.48642669
FFM,46.28935194,-96.15681111
FFO,39.81897777,-84.05548055
FFT,38.18242302,-84.90862316
FFU,40.27489461,-111.9405315
FGT,44.63095286,-93.18205308
FHR,48.51213586,-123.02386227
FHU,31.58965605,-110.35494247
FIM,34.35669361,-118.88129111
FIQ,35.71021386,-81.67135411
FJC,40.72668727,-75.45474519
FJS,41.44966916,-122.8064475
FK,36.73700502,-87.41385227
FKL,41.43849833,-79.85670594
FLG,35.14719783,-111.67416277
FLL,26.07394338,-80.16644183
FLM,38.64944141,-84.31060166
FLO,34.23296813,-79.657161
FLP,36.29964627,-92.45838894
FLW,35.09308444,-119.86557861
FM,26.51612938,-81.95026975
FMG,39.53127736,-119.65607586
FMZ,40.58994577,-97.56805075
FND,39.28735172,-76.77701755
FNT,42.9667665,-83.7469878
FNX,43.63775741,-94.41319816
FO,42.514493,-94.30557825
FOD,42.61112497,-94.29481613
FOE,38.94737016,-95.66117905
FOE,38.95166675,-95.66694452
FOF,14.59075,-61.02280555
FOK,40.83777505,-72.631841
FOT,40.67127158,-124.23453625
FOW,44.20444444,-93.3705
FQ,43.57365541,-94.31798061
FQF,39.69013888,-104.62097222
FQM,41.3385585,-76.77486658
FR,40.77651602,-73.48245663
FRA,37.10442083,-119.59544555
FRI,38.97016411,-96.86117227
FS,43.49396444,-96.82906
FSD,43.64949047,-96.78112502
FSI,34.78137361,-98.40230444
FSM,35.38840763,-94.27152422
FST,30.95210705,-102.97571136
FT,32.89308875,-97.37333763
FTI,35.6575495,-105.13559641
FTK,37.90721691,-85.97256363
FTW,32.82000277,-97.36413888
FTZ,38.69433369,-90.97126933
FUZ,32.8894488,-97.17942588
FVI,41.01616666,-121.43341666
FVQ,33.13017222,-117.2759
FWA,40.9790643,-85.18805811
FWC,38.38017647,-88.40934888
FXU,31.11146138,-93.21917472
FYU,66.57425377,-145.27665708
FZ,38.67736102,-90.54732025
FZT,32.07460416,-95.53079055
GAD,33.97640305,-86.08355694
GAL,64.73812777,-156.77713611
GAM,63.7818755,-171.73677822
GB,42.87388811,-78.81645197
GB,38.25164827,-98.85587094
GB,44.50206313,-95.91097344
GBG,40.93734333,-90.43446361
GBN,32.95625833,-112.67427166
GC,44.27090325,-105.52223458
GCC,44.34777291,-105.54348588
GCK,37.91900372,-100.72500863
GCN,35.96034027,-112.14604627
GCO,41.99408888,-87.90232777
GCR,60.49875625,-145.47446722
GCV,31.09795972,-88.48612888
GDE,30.07047208,-94.21103544
GDM,42.54592083,-72.05818822
GDV,47.13337222,-104.80473888
GEE,42.83439638,-77.73275083
GEF,30.55134166,-83.78313277
GEG,47.56494583,-117.62688583
GEG,47.61363888,-117.52786111
GEP,45.14568488,-93.37318094
GF,43.25501361,-73.60511111
GF,47.84646475,-97.18151691
